actual	baseline	metrics	method	n	t
0.9315068493150684	0.7123287671232876	purity	Siamese	1500	31.235811948776245
0.8148148148148148	0.4074074074074074	purity_90	Siamese	1500	31.235811948776245
0.2465753424657534	0.1643835616438356	consistency	Siamese	1500	31.235811948776245
0.06875	0.06875	retention	Blosum62	1600	8.145852327346802
0.9818181818181818	0.6181818181818182	purity	Blosum62	1600	8.145852327346802
0.9714285714285714	0.22857142857142856	purity_90	Blosum62	1600	8.145852327346802
0.3090909090909091	0.16363636363636364	consistency	Blosum62	1600	8.145852327346802
0.045	0.045	retention	Default	1600	0.4140911102294922
1.0	0.6527777777777778	purity	Default	1600	0.4140911102294922
1.0	0.25	purity_90	Default	1600	0.4140911102294922
0.25	0.1388888888888889	consistency	Default	1600	0.4140911102294922
0.05625	0.05625	retention	Siamese	1600	31.709919452667236
0.9333333333333333	0.6666666666666666	purity	Siamese	1600	31.709919452667236
0.8181818181818182	0.30303030303030304	purity_90	Siamese	1600	31.709919452667236
0.25555555555555554	0.15555555555555556	consistency	Siamese	1600	31.709919452667236
0.0688235294117647	0.0688235294117647	retention	Blosum62	1700	8.975170612335205
0.9829059829059829	0.6068376068376068	purity	Blosum62	1700	8.975170612335205
0.972972972972973	0.2702702702702703	purity_90	Blosum62	1700	8.975170612335205
0.29914529914529914	0.1111111111111111	consistency	Blosum62	1700	8.975170612335205
0.04647058823529412	0.04647058823529412	retention	Default	1700	0.41843605041503906
1.0	0.6962025316455697	purity	Default	1700	0.41843605041503906
1.0	0.3333333333333333	purity_90	Default	1700	0.41843605041503906
0.22784810126582278	0.13924050632911392	consistency	Default	1700	0.41843605041503906
0.05529411764705883	0.05529411764705883	retention	Siamese	1700	32.0950493812561
0.9361702127659575	0.6702127659574468	purity	Siamese	1700	32.0950493812561
0.8235294117647058	0.2647058823529412	purity_90	Siamese	1700	32.0950493812561
0.24468085106382978	0.13829787234042554	consistency	Siamese	1700	32.0950493812561
0.07111111111111111	0.07111111111111111	retention	Blosum62	1800	10.066412448883057
0.984375	0.5859375	purity	Blosum62	1800	10.066412448883057
1.0	0.15	purity_90	Blosum62	1800	10.066412448883057
0.3203125	0.1484375	consistency	Blosum62	1800	10.066412448883057
0.04666666666666667	0.04666666666666667	retention	Default	1800	0.4348897933959961
1.0	0.6666666666666666	purity	Default	1800	0.4348897933959961
1.0	0.28125	purity_90	Default	1800	0.4348897933959961
0.21428571428571427	0.10714285714285714	consistency	Default	1800	0.4348897933959961
0.06	0.06	retention	Siamese	1800	32.594422340393066
0.9444444444444444	0.7037037037037037	purity	Siamese	1800	32.594422340393066
0.8421052631578947	0.3157894736842105	purity_90	Siamese	1800	32.594422340393066
0.24074074074074073	0.16666666666666666	consistency	Siamese	1800	32.594422340393066
0.07526315789473684	0.07526315789473684	retention	Blosum62	1900	11.075355291366577
0.986013986013986	0.5944055944055944	purity	Blosum62	1900	11.075355291366577
1.0	0.28888888888888886	purity_90	Blosum62	1900	11.075355291366577
0.3146853146853147	0.14685314685314685	consistency	Blosum62	1900	11.075355291366577
0.04894736842105263	0.04894736842105263	retention	Default	1900	0.4760308265686035
1.0	0.6129032258064516	purity	Default	1900	0.4760308265686035
1.0	0.2222222222222222	purity_90	Default	1900	0.4760308265686035
0.21505376344086022	0.11827956989247312	consistency	Default	1900	0.4760308265686035
0.060526315789473685	0.060526315789473685	retention	Siamese	1900	32.91287660598755
0.9478260869565217	0.7217391304347827	purity	Siamese	1900	32.91287660598755
0.8461538461538461	0.48717948717948717	purity_90	Siamese	1900	32.91287660598755
0.24347826086956523	0.1565217391304348	consistency	Siamese	1900	32.91287660598755
0.077	0.077	retention	Blosum62	2000	12.297294855117798
0.987012987012987	0.5714285714285714	purity	Blosum62	2000	12.297294855117798
1.0	0.125	purity_90	Blosum62	2000	12.297294855117798
0.3116883116883117	0.18181818181818182	consistency	Blosum62	2000	12.297294855117798
0.0505	0.0505	retention	Default	2000	0.47806763648986816
1.0	0.6831683168316832	purity	Default	2000	0.47806763648986816
1.0	0.358974358974359	purity_90	Default	2000	0.47806763648986816
0.19801980198019803	0.10891089108910891	consistency	Default	2000	0.47806763648986816
0.0595	0.0595	retention	Siamese	2000	34.06329011917114
0.9495798319327731	0.6974789915966386	purity	Siamese	2000	34.06329011917114
0.85	0.325	purity_90	Siamese	2000	34.06329011917114
0.23529411764705882	0.15126050420168066	consistency	Siamese	2000	34.06329011917114
0.08285714285714285	0.08285714285714285	retention	Blosum62	2100	13.615952014923096
0.9885057471264368	0.5977011494252874	purity	Blosum62	2100	13.615952014923096
1.0	0.21153846153846154	purity_90	Blosum62	2100	13.615952014923096
0.3218390804597701	0.14367816091954022	consistency	Blosum62	2100	13.615952014923096
0.05238095238095238	0.05238095238095238	retention	Default	2100	0.5124893188476562
1.0	0.6181818181818182	purity	Default	2100	0.5124893188476562
1.0	0.20930232558139536	purity_90	Default	2100	0.5124893188476562
0.18181818181818182	0.1	consistency	Default	2100	0.5124893188476562
0.06333333333333334	0.06333333333333334	retention	Siamese	2100	34.22679543495178
0.9398496240601504	0.706766917293233	purity	Siamese	2100	34.22679543495178
0.8409090909090909	0.3409090909090909	purity_90	Siamese	2100	34.22679543495178
0.21804511278195488	0.12781954887218044	consistency	Siamese	2100	34.22679543495178
0.08272727272727273	0.08272727272727273	retention	Blosum62	2200	15.019381046295166
0.989010989010989	0.5934065934065934	purity	Blosum62	2200	15.019381046295166
1.0	0.20754716981132076	purity_90	Blosum62	2200	15.019381046295166
0.32967032967032966	0.15384615384615385	consistency	Blosum62	2200	15.019381046295166
0.055	0.055	retention	Default	2200	0.5354897975921631
1.0	0.6694214876033058	purity	Default	2200	0.5354897975921631
1.0	0.3191489361702128	purity_90	Default	2200	0.5354897975921631
0.17355371900826447	0.11570247933884298	consistency	Default	2200	0.5354897975921631
0.06363636363636363	0.06363636363636363	retention	Siamese	2200	34.482991218566895
0.9428571428571428	0.7	purity	Siamese	2200	34.482991218566895
0.8444444444444444	0.35555555555555557	purity_90	Siamese	2200	34.482991218566895
0.21428571428571427	0.12857142857142856	consistency	Siamese	2200	34.482991218566895
